"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4019","navigate to page form @smoke","chromium","2025-10-10","passed","2025-10-10","","tests/usePageObjects.spec.ts","",""
"","4666","parametrized methods @smoke @regression","chromium","2025-10-10","passed","2025-10-10","","tests/usePageObjects.spec.ts","",""
